Date,Field Name,PB Value,Latitude,Longitude,Icon,Iconscale,IconLineColor,Timebegin,timeend
8/7/14 15:45,Drummond H,17," 36¡15'21.98""N","119¡33'27.59""W",160,1,yellow,8/7/14,8/14/14
8/7/14 14:45,Drummond G,21," 36¡15'20.09""N","119¡33'49.22""W",175,1.5,Orange,8/7/14,8/14/14
8/7/14 14:15,Drummond F,17," 36¡15'30.87""N","119¡33'52.40""W",160,1,yellow,8/7/14,8/14/14
8/7/14 13:45,Drummond E,15," 36¡15'38.58""N","119¡34'0.82""W",160,1,yellow,8/7/14,8/14/14
8/7/14 13:15,Drummond C & D,21," 36¡16'6.72""N","119¡33'52.17""W",175,1.5,Orange,8/7/14,8/14/14
8/5/14 15:00,AKE C1 & C2,22," 36¡ 9'4.67""N","119¡23'30.80""W",175,1.5,Orange,8/5/14,8/12/14
8/5/14 14:15,AKE C3 & C4,20," 36¡ 8'33.98""N","119¡23'32.49""W",175,1.5,Orange,8/5/14,8/12/14
8/5/14 14:00,AKE A,19," 36¡ 8'35.31""N","119¡22'27.07""W",160,1,yellow,8/5/14,8/12/14
6/5/14 15:50,AKE D,18," 36¡ 9'4.18""N","119¡23'59.47""W",160,1,yellow,6/5/14,6/12/14
7/29/14 16:15,AKE A,16," 36¡ 8'35.31""N","119¡22'27.07""W",160,1,yellow,7/29/14,8/5/14
7/29/14 15:30,AKE B,18," 36¡ 8'35.28""N","119¡22'57.89""W",160,1,yellow,7/29/14,8/5/14
7/29/14 14:45,AKE C1 & C2,22," 36¡ 9'4.67""N","119¡23'30.80""W",175,1.5,Orange,7/29/14,8/5/14
6/6/14 17:00,AKE D,18," 36¡ 9'4.18""N","119¡23'59.47""W",160,1,yellow,6/6/14,6/13/14
7/24/14 15:30,Drummond H,16," 36¡15'21.98""N","119¡33'27.59""W",160,1,yellow,7/24/14,7/31/14
7/24/14 14:30,Drummond G,22," 36¡15'20.09""N","119¡33'49.22""W",175,1.5,Orange,7/24/14,7/31/14
7/24/14 14:00,Drummond F,23," 36¡15'30.87""N","119¡33'52.40""W",175,1.5,Orange,7/24/14,7/31/14
7/24/14 13:30,Drummond E,19," 36¡15'38.58""N","119¡34'0.82""W",160,1,yellow,7/24/14,7/31/14
7/24/14 13:00,Drummond C & D,23," 36¡16'6.72""N","119¡33'52.17""W",175,1.5,Orange,7/24/14,7/31/14
7/23/14 15:00,AKE C3 & C4,11," 36¡ 8'33.98""N","119¡23'32.49""W",155,0.5,green,7/23/14,7/30/14
6/9/14 12:00,AKE D,18," 36¡ 9'4.18""N","119¡23'59.47""W",160,1,yellow,6/9/14,6/16/14
7/21/14 16:40,AKE A,16," 36¡ 8'35.31""N","119¡22'27.07""W",160,1,yellow,7/21/14,7/28/14
7/21/14 16:00,AKE B,16," 36¡ 8'35.28""N","119¡22'57.89""W",160,1,yellow,7/21/14,7/28/14
7/21/14 15:15,AKE C1 & C2,21," 36¡ 9'4.67""N","119¡23'30.80""W",175,1.5,Orange,7/21/14,7/28/14
7/21/14 14:15,AKE C3 & C4,11," 36¡ 8'33.98""N","119¡23'32.49""W",155,0.5,green,7/21/14,7/28/14
6/11/14 13:15,AKE D,19," 36¡ 9'4.18""N","119¡23'59.47""W",160,1,yellow,6/11/14,6/18/14
7/16/14 15:30,Drummond H,16," 36¡15'21.98""N","119¡33'27.59""W",160,1,yellow,7/16/14,7/23/14
7/16/14 14:30,Drummond G,19," 36¡15'20.09""N","119¡33'49.22""W",160,1,yellow,7/16/14,7/23/14
7/16/14 14:00,Drummond F,19," 36¡15'30.87""N","119¡33'52.40""W",160,1,yellow,7/16/14,7/23/14
7/16/14 13:30,Drummond E,16," 36¡15'38.58""N","119¡34'0.82""W",160,1,yellow,7/16/14,7/23/14
7/16/14 13:00,Drummond C & D,19," 36¡16'6.72""N","119¡33'52.17""W",160,1,yellow,7/16/14,7/23/14
7/15/14 15:00,AKE C3 & C4,14," 36¡ 8'33.98""N","119¡23'32.49""W",155,0.5,green,7/15/14,7/22/14
6/16/14 13:00,AKE D,21," 36¡ 9'4.18""N","119¡23'59.47""W",175,1.5,Orange,6/16/14,6/23/14
7/15/14 13:40,AKE A,18," 36¡ 8'35.31""N","119¡22'27.07""W",160,1,yellow,7/15/14,7/22/14
7/15/14 13:10,AKE B,21," 36¡ 8'35.28""N","119¡22'57.89""W",175,1.5,Orange,7/15/14,7/22/14
7/15/14 12:40,AKE C1 & C2,21," 36¡ 9'4.67""N","119¡23'30.80""W",175,1.5,Orange,7/15/14,7/22/14
7/11/14 14:30,AKE C3 & C4,16," 36¡ 8'33.98""N","119¡23'32.49""W",160,1,yellow,7/11/14,7/18/14
6/18/14 15:15,AKE D,20," 36¡ 9'4.18""N","119¡23'59.47""W",175,1.5,Orange,6/18/14,6/25/14
7/10/14 16:00,Drummond H,18," 36¡15'21.98""N","119¡33'27.59""W",160,1,yellow,7/10/14,7/17/14
7/10/14 15:10,Drummond G,17," 36¡15'20.09""N","119¡33'49.22""W",160,1,yellow,7/10/14,7/17/14
7/10/14 14:35,Drummond F,20," 36¡15'30.87""N","119¡33'52.40""W",160,1,yellow,7/10/14,7/17/14
7/10/14 14:05,Drummond E,15," 36¡15'38.58""N","119¡34'0.82""W",155,0.5,green,7/10/14,7/17/14
7/10/14 13:35,Drummond C & D,20," 36¡16'6.72""N","119¡33'52.17""W",160,1,yellow,7/10/14,7/17/14
7/8/14 16:40,AKE A,21," 36¡ 8'35.31""N","119¡22'27.07""W",175,1.5,Orange,7/8/14,7/15/14
7/8/14 16:00,AKE B,17," 36¡ 8'35.28""N","119¡22'57.89""W",160,1,yellow,7/8/14,7/15/14
7/8/14 15:15,AKE C1 & C2,18," 36¡ 9'4.67""N","119¡23'30.80""W",160,1,yellow,7/8/14,7/15/14
